{'epoch': 1539264585037, 'value': {x : 0.504, y : -0.261, z : -0.893}}
{'epoch': 1539264585040, 'value': {x : 0.508, y : -0.276, z : -0.871}}
{'epoch': 1539264585043, 'value': {x : 0.505, y : -0.276, z : -0.859}}
{'epoch': 1539264585044, 'value': {x : 0.497, y : -0.255, z : -0.872}}
{'epoch': 1539264585047, 'value': {x : 0.497, y : -0.278, z : -0.854}}
{'epoch': 1539264585050, 'value': {x : 0.502, y : -0.286, z : -0.859}}
{'epoch': 1539264585052, 'value': {x : 0.504, y : -0.282, z : -0.849}}
{'epoch': 1539264585055, 'value': {x : 0.508, y : -0.282, z : -0.832}}
{'epoch': 1539264585058, 'value': {x : 0.480, y : -0.279, z : -0.867}}
{'epoch': 1539264585059, 'value': {x : 0.496, y : -0.310, z : -0.844}}
{'epoch': 1539264585062, 'value': {x : 0.478, y : -0.308, z : -0.849}}
{'epoch': 1539264585065, 'value': {x : 0.488, y : -0.305, z : -0.839}}
{'epoch': 1539264585068, 'value': {x : 0.464, y : -0.278, z : -0.855}}
{'epoch': 1539264585069, 'value': {x : 0.466, y : -0.271, z : -0.846}}
{'epoch': 1539264585072, 'value': {x : 0.481, y : -0.266, z : -0.817}}
{'epoch': 1539264585075, 'value': {x : 0.493, y : -0.266, z : -0.800}}
{'epoch': 1539264585077, 'value': {x : 0.483, y : -0.266, z : -0.796}}
{'epoch': 1539264585080, 'value': {x : 0.488, y : -0.287, z : -0.768}}
{'epoch': 1539264585083, 'value': {x : 0.474, y : -0.257, z : -0.770}}
{'epoch': 1539264585084, 'value': {x : 0.467, y : -0.250, z : -0.791}}
{'epoch': 1539264585087, 'value': {x : 0.452, y : -0.252, z : -0.779}}
{'epoch': 1539264585090, 'value': {x : 0.441, y : -0.246, z : -0.790}}
{'epoch': 1539264585091, 'value': {x : 0.438, y : -0.265, z : -0.766}}
{'epoch': 1539264585094, 'value': {x : 0.436, y : -0.281, z : -0.764}}
{'epoch': 1539264585097, 'value': {x : 0.433, y : -0.291, z : -0.782}}
{'epoch': 1539264585099, 'value': {x : 0.432, y : -0.284, z : -0.774}}
{'epoch': 1539264585102, 'value': {x : 0.432, y : -0.292, z : -0.780}}
{'epoch': 1539264585105, 'value': {x : 0.437, y : -0.302, z : -0.777}}
{'epoch': 1539264585106, 'value': {x : 0.440, y : -0.313, z : -0.791}}
{'epoch': 1539264585109, 'value': {x : 0.441, y : -0.324, z : -0.813}}
{'epoch': 1539264585112, 'value': {x : 0.420, y : -0.319, z : -0.805}}
{'epoch': 1539264585113, 'value': {x : 0.420, y : -0.320, z : -0.814}}
{'epoch': 1539264585116, 'value': {x : 0.415, y : -0.308, z : -0.815}}
{'epoch': 1539264585119, 'value': {x : 0.423, y : -0.318, z : -0.791}}
{'epoch': 1539264585121, 'value': {x : 0.420, y : -0.315, z : -0.793}}
{'epoch': 1539264585124, 'value': {x : 0.419, y : -0.323, z : -0.815}}
{'epoch': 1539264585127, 'value': {x : 0.432, y : -0.324, z : -0.812}}
{'epoch': 1539264585128, 'value': {x : 0.438, y : -0.326, z : -0.820}}
{'epoch': 1539264585131, 'value': {x : 0.441, y : -0.332, z : -0.831}}
{'epoch': 1539264585134, 'value': {x : 0.442, y : -0.330, z : -0.832}}
{'epoch': 1539264585135, 'value': {x : 0.442, y : -0.327, z : -0.869}}
{'epoch': 1539264585138, 'value': {x : 0.435, y : -0.342, z : -0.875}}
{'epoch': 1539264585141, 'value': {x : 0.438, y : -0.358, z : -0.846}}
{'epoch': 1539264585143, 'value': {x : 0.428, y : -0.341, z : -0.849}}
